location_id,location_name,tract_id
44251,King County Census Tract 284.03,284.03
44252,King County Census Tract 285,285
44253,King County Census Tract 286,286
44254,King County Census Tract 287,287
44255,King County Census Tract 288.01,288.01
44256,King County Census Tract 288.02,288.02
44258,King County Census Tract 289.01,289.01
44259,King County Census Tract 289.02,289.02
44260,King County Census Tract 290.01,290.01
44262,King County Census Tract 290.03,290.03
44263,King County Census Tract 290.04,290.04
44265,King County Census Tract 291.01,291.01
44266,King County Census Tract 291.02,291.02
44269,King County Census Tract 292.03,292.03
44270,King County Census Tract 292.04,292.04
44271,King County Census Tract 292.05,292.05
44272,King County Census Tract 292.06,292.06
44275,King County Census Tract 293.03,293.03
44276,King County Census Tract 293.04,293.04
44277,King County Census Tract 293.05,293.05
44278,King County Census Tract 293.06,293.06
44279,King County Census Tract 293.07,293.07
44281,King County Census Tract 294.03,294.03
44283,King County Census Tract 294.05,294.05
44284,King County Census Tract 294.06,294.06
44285,King County Census Tract 294.07,294.07
44286,King County Census Tract 294.08,294.08
44288,King County Census Tract 295.02,295.02
44289,King County Census Tract 295.03,295.03
44290,King County Census Tract 295.04,295.04
44292,King County Census Tract 296.01,296.01
44293,King County Census Tract 296.02,296.02
44294,King County Census Tract 297,297
44295,King County Census Tract 298.01,298.01
44296,King County Census Tract 298.02,298.02
44298,King County Census Tract 299.01,299.01
44299,King County Census Tract 299.02,299.02
44302,King County Census Tract 300.03,300.03
44303,King County Census Tract 300.04,300.04
44304,King County Census Tract 300.05,300.05
44305,King County Census Tract 300.06,300.06
44306,King County Census Tract 301,301
44307,King County Census Tract 302.01,302.01
44308,King County Census Tract 302.02,302.02
44311,King County Census Tract 303.04,303.04
44312,King County Census Tract 303.05,303.05
44313,King County Census Tract 303.06,303.06
44315,King County Census Tract 303.08,303.08
44316,King County Census Tract 303.09,303.09
44317,King County Census Tract 303.1,303.1
44318,King County Census Tract 303.11,303.11
44319,King County Census Tract 303.12,303.12
44320,King County Census Tract 303.13,303.13
44321,King County Census Tract 303.14,303.14
44322,King County Census Tract 304.01,304.01
44324,King County Census Tract 304.03,304.03
44325,King County Census Tract 304.04,304.04
44326,King County Census Tract 305.01,305.01
44328,King County Census Tract 305.03,305.03
44329,King County Census Tract 305.04,305.04
44330,King County Census Tract 306,306
44331,King County Census Tract 307,307
44333,King County Census Tract 308.01,308.01
44334,King County Census Tract 308.02,308.02
44336,King County Census Tract 309.01,309.01
44337,King County Census Tract 309.02,309.02
44338,King County Census Tract 310,310
44339,King County Census Tract 311,311
44340,King County Census Tract 312.02,312.02
44342,King County Census Tract 312.04,312.04
44343,King County Census Tract 312.05,312.05
44344,King County Census Tract 312.06,312.06
44346,King County Census Tract 313.01,313.01
44347,King County Census Tract 313.02,313.02
44348,King County Census Tract 314,314
44350,King County Census Tract 315.01,315.01
44351,King County Census Tract 315.02,315.02
44353,King County Census Tract 316.01,316.01
